servicio_normalizado,label_corto,service_name,familia,subfamilia,pilar,capability,origen,modalidad,ticket_tipo,grupo_sustitucion,regla_grupo,nivel,activo,penetracion_pct,win_rate,momentum_pct,valor_referencia_eur,valor_anual_eur,fuente_valor,srp_eur,ticket_mediano_eur,ticket_promedio_eur,revenue_eur,pitches,ganados,perdidos,abiertos,cuentas_con_servicio,cuentas_ofrecido,cuentas_blanco,ultimo_movimiento,dias_sin_movimiento
ABCD Pro Mensual,ABCD Pro Mensual,ABCD Detector - Pro (100 Videos) per month,Tech Consulting,AI Video,CSA - Tech,Creative Tech,Latam COE,Mensual,Bajo,ABCD Detector,ESCALABLE,2,True,0.0,,0.0,909.090909090909,10909.090909090908,SRP catalogo,909.090909090909,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Appcellence,Appcellence,Appcellence,Tech Consulting,App Measurement,CSA - Tech,Tech,Google,Proyecto,Bajo,solo:Appcellence,ACUMULABLE,1,True,0.0,,0.0,2818.181818181818,2818.181818181818,SRP catalogo,2818.181818181818,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Audience Strategy,Audience Strategy,Audience Strategy,Tech Consulting,Audience Strategy,CSA - Tech,Tech,Google,Proyecto,Medio,solo:Audience Strategy,ACUMULABLE,1,True,0.0,,0.0,5636.363636363636,5636.363636363636,SRP catalogo,5636.363636363636,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Audiencias,Audiencias,Audiencias,Tech Consulting,Audiencias,CSA - Tech,Audiencias,Latam COE,Proyecto,A cotizar,solo:Audiencias,ACUMULABLE,1,True,0.0,,0.0,7135.8125,7135.8125,Mediana portafolio,,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Business Inteligence,Business Inteligence,Business Inteligence,Tech Consulting,Ad Hoc Services,CSA - Tech,BI Services,Latam COE,Proyecto,A cotizar,solo:Business Inteligence,ACUMULABLE,1,True,0.0,,0.0,7135.8125,7135.8125,Mediana portafolio,,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
CRM Ad Hoc,CRM Ad Hoc,CRM Ad Hoc,Tech Consulting,Ad Hoc Services,CSA - Tech,CRM,Latam COE,Recurrente,A cotizar,solo:CRM Ad Hoc,ACUMULABLE,1,True,0.0,,0.0,7135.8125,7135.8125,Mediana portafolio,,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
CRO UX-UI,CRO UX-UI,Conversión Optimizer UX-UI,Tech Consulting,Convertion Rate Optimization,CSA - Tech,Tech,Google,Proyecto,Alto,solo:Conversión Optimizer UX-UI,ACUMULABLE,1,True,0.0,,0.0,9909.090909090908,9909.090909090908,SRP catalogo,9909.090909090908,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
CX Ad Hoc,CX Ad Hoc,CX Ad Hoc,Tech Consulting,Others Units,CSA - Tech,CX,Latam COE,Recurrente,A cotizar,solo:CX Ad Hoc,ACUMULABLE,1,True,0.0,,0.0,7135.8125,7135.8125,Mediana portafolio,,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Chat2Flow,Chat2Flow,Chat2Flow,Tech Consulting,AI Content Creation,CSA - Tech,Cloud & AI,Global COE,Proyecto,A cotizar,solo:Chat2Flow,ACUMULABLE,1,True,0.0,,0.0,7135.8125,7135.8125,Mediana portafolio,,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
Churn Prediction,Churn Prediction,Churn Prediction,Tech Consulting,Predictive Modeling,CSA - Tech,Tech,Google,Proyecto,Medio,solo:Churn Prediction,ACUMULABLE,1,True,0.0,,0.0,3454.545454545454,3454.545454545454,SRP catalogo,3454.545454545454,,,0.0,0.0,0.0,0.0,0.0,0,0,29,,
